host,shell_name,shell_hash,metric_name,metric_value
flanders,dash,2887d9e6,VmPeak,4508
flanders,dash,2887d9e6,VmRSS,852
flanders,zsh,ca7b4198,VmPeak,7448
flanders,zsh,ca7b4198,VmRSS,828
flanders,osh,51839a07,VmPeak,22388
flanders,osh,51839a07,VmRSS,9976
flanders,mksh,ae7d165b,VmPeak,4620
flanders,mksh,ae7d165b,VmRSS,924
flanders,bash,d685a43c,VmPeak,12516
flanders,bash,d685a43c,VmRSS,2892
flanders,osh,3a067bd6,VmPeak,48676
flanders,osh,3a067bd6,VmRSS,13972
lisa,dash,2887d9e6,VmPeak,4508
lisa,dash,2887d9e6,VmRSS,752
lisa,zsh,ca7b4198,VmPeak,7448
lisa,zsh,ca7b4198,VmRSS,728
lisa,osh,51839a07,VmPeak,22388
lisa,osh,51839a07,VmRSS,9956
lisa,mksh,ae7d165b,VmPeak,4620
lisa,mksh,ae7d165b,VmRSS,776
lisa,bash,d685a43c,VmPeak,12536
lisa,bash,d685a43c,VmRSS,3040
lisa,osh,3a067bd6,VmPeak,48684
lisa,osh,3a067bd6,VmRSS,13996
