"host","VmPeak","VmRSS","num_lines","filename","filename_HREF"
"flanders",37976,25424,1116,"build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/build.sh"
"flanders",28328,15932,1679,"t4014-format-patch.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t4014-format-patch.sh"
"flanders",43508,30840,1733,"functions","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/functions"
"flanders",47584,35180,2029,"configure-helper.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure-helper.sh"
"flanders",55956,43472,2512,"abuild","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/abuild"
"flanders",48996,36388,2698,"Build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/Build.sh"
"flanders",30628,17964,3123,"t9300-fast-import.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t9300-fast-import.sh"
"flanders",118436,105996,5160,"test-cmd-util.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/test-cmd-util.sh"
"flanders",113896,101284,9661,"ltmain.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/ltmain.sh"
"flanders",227956,215188,20489,"configure","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure"
"lisa",38232,25600,1116,"build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/build.sh"
"lisa",28584,15888,1679,"t4014-format-patch.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t4014-format-patch.sh"
"lisa",43508,30920,1733,"functions","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/functions"
"lisa",47584,35060,2029,"configure-helper.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure-helper.sh"
"lisa",56208,43380,2512,"abuild","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/abuild"
"lisa",48996,36396,2698,"Build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/Build.sh"
"lisa",30640,18116,3123,"t9300-fast-import.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t9300-fast-import.sh"
"lisa",118708,106128,5160,"test-cmd-util.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/test-cmd-util.sh"
"lisa",113896,101608,9661,"ltmain.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/ltmain.sh"
"lisa",227956,215136,20489,"configure","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure"
