"host_label","shell_label","total_lines","total_ms","lines_per_ms"
"flanders","bash",50200,245.5,204.480651731161
"flanders","dash",43011,35,1228.88571428571
"flanders","mksh",43011,107.1,401.596638655462
"flanders","osh-cpython",50200,30196.6,1.66243881761523
"flanders","osh-ovm",50200,33660.7,1.49135341808103
"flanders","zsh",50200,783.5,64.0714741544352
"lisa","bash",50200,107.4,467.411545623836
"lisa","dash",43011,22.9,1878.2096069869
"lisa","mksh",43011,56.6,759.911660777385
"lisa","osh-cpython",50200,14379.6,3.49105677487552
"lisa","osh-ovm",50200,13741.9,3.6530610759793
"lisa","zsh",50200,365.8,137.2334609076
