"host_label","bash","dash","mksh","zsh","osh-ovm","osh-cpython","num_lines","filename","filename_HREF"
"flanders",128.275862068966,429.230769230769,199.285714285714,68.0487804878049,1.15456238361266,1.20844612885761,1116,"build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/build.sh"
"flanders",230,799.52380952381,212.53164556962,19.9169632265718,5.36936360729133,4.63300220750552,1679,"t4014-format-patch.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t4014-format-patch.sh"
"flanders",203.882352941176,666.538461538462,213.950617283951,106.319018404908,1.44140397571322,1.36833793920253,1733,"functions","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/functions"
"flanders",167.685950413223,NA,NA,61.4848484848485,1.4973064718471,1.36651400862069,2029,"configure-helper.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure-helper.sh"
"flanders",204.227642276423,785,295.529411764706,85.1525423728814,1.22196818601936,1.15675078283293,2512,"abuild","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/abuild"
"flanders",259.423076923077,930.344827586207,415.076923076923,38.7087517934003,1.72705159390603,1.80843220054963,2698,"Build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/Build.sh"
"flanders",303.203883495146,1419.54545454545,800.769230769231,36.9148936170213,7.26110206928621,7.21747168939219,3123,"t9300-fast-import.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t9300-fast-import.sh"
"flanders",145.762711864407,NA,NA,70.0135685210312,0.799206988414596,1.06251544353842,5160,"test-cmd-util.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/test-cmd-util.sh"
"flanders",198.786008230453,1441.94029850746,441.141552511416,79.0589198036007,1.61387858741773,1.85154662884741,9661,"ltmain.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/ltmain.sh"
"flanders",222.948857453754,1613.30708661417,458.366890380313,80.7289204097715,1.53666731666342,1.70898323463175,20489,"configure","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure"
"lisa",265.714285714286,797.142857142857,398.571428571429,118.723404255319,2.74673886290918,2.26691042047532,1116,"build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/build.sh"
"lisa",479.714285714286,1399.16666666667,932.777777777778,49.2375366568915,11.484268125855,8.89300847457627,1679,"t4014-format-patch.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t4014-format-patch.sh"
"lisa",258.65671641791,1083.125,597.586206896552,153.362831858407,2.90576794097921,2.62615547810274,1733,"functions","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/functions"
"lisa",317.03125,NA,NA,119.352941176471,2.90521191294387,3.27152531441471,2029,"configure-helper.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure-helper.sh"
"lisa",433.103448275862,1322.10526315789,584.186046511628,188.872180451128,2.9199116587237,2.96716276872195,2512,"abuild","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/abuild"
"lisa",518.846153846154,1349,793.529411764706,76.2146892655367,4.47875166002656,4.56437151074268,2698,"Build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/Build.sh"
"lisa",664.468085106383,2402.30769230769,1249.2,78.4673366834171,16.4715189873418,16.9360086767896,3123,"t9300-fast-import.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t9300-fast-import.sh"
"lisa",337.254901960784,NA,NA,123.444976076555,2.27945399125326,1.96916501297512,5160,"test-cmd-util.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/test-cmd-util.sh"
"lisa",548.920454545455,2100.21739130435,731.893939393939,184.370229007634,4.01021128222158,4.10303236218466,9661,"ltmain.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/ltmain.sh"
"lisa",539.184210526316,2302.13483146067,797.237354085603,184.088050314465,3.67878624652123,3.51966055692028,20489,"configure","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure"
