"host_label","bash","dash","mksh","zsh","osh-ovm","osh-cpython","num_lines","filename","filename_HREF"
"flanders",8.7,2.6,5.6,16.4,966.6,923.5,1116,"build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/build.sh"
"flanders",7.3,2.1,7.9,84.3,312.7,362.4,1679,"t4014-format-patch.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t4014-format-patch.sh"
"flanders",8.5,2.6,8.1,16.3,1202.3,1266.5,1733,"functions","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/functions"
"flanders",12.1,NA,NA,33,1355.1,1484.8,2029,"configure-helper.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure-helper.sh"
"flanders",12.3,3.2,8.5,29.5,2055.7,2171.6,2512,"abuild","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/abuild"
"flanders",10.4,2.9,6.5,69.7,1562.2,1491.9,2698,"Build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/Build.sh"
"flanders",10.3,2.2,3.9,84.6,430.1,432.7,3123,"t9300-fast-import.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t9300-fast-import.sh"
"flanders",35.4,NA,NA,73.7,6456.4,4856.4,5160,"test-cmd-util.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/test-cmd-util.sh"
"flanders",48.6,6.7,21.9,122.2,5986.2,5217.8,9661,"ltmain.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/ltmain.sh"
"flanders",91.9,12.7,44.7,253.8,13333.4,11989,20489,"configure","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure"
"lisa",4.2,1.4,2.8,9.4,406.3,492.3,1116,"build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/build.sh"
"lisa",3.5,1.2,1.8,34.1,146.2,188.8,1679,"t4014-format-patch.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t4014-format-patch.sh"
"lisa",6.7,1.6,2.9,11.3,596.4,659.9,1733,"functions","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/functions"
"lisa",6.4,NA,NA,17,698.4,620.2,2029,"configure-helper.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure-helper.sh"
"lisa",5.8,1.9,4.3,13.3,860.3,846.6,2512,"abuild","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/abuild"
"lisa",5.2,2,3.4,35.4,602.4,591.1,2698,"Build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/Build.sh"
"lisa",4.7,1.3,2.5,39.8,189.6,184.4,3123,"t9300-fast-import.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t9300-fast-import.sh"
"lisa",15.3,NA,NA,41.8,2263.7,2620.4,5160,"test-cmd-util.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/test-cmd-util.sh"
"lisa",17.6,4.6,13.2,52.4,2409.1,2354.6,9661,"ltmain.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/ltmain.sh"
"lisa",38,8.9,25.7,111.3,5569.5,5821.3,20489,"configure","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure"
