host,shell_name,shell_hash,task_arg,event,metric_name,metric_value
flanders,osh,51839a07,ocaml-4.06.0,parser,VmPeak,30352
flanders,osh,51839a07,ocaml-4.06.0,parser,VmRSS,17444
flanders,osh,51839a07,ocaml-4.06.0,runtime,VmPeak,30352
flanders,osh,51839a07,ocaml-4.06.0,runtime,VmRSS,17992
flanders,osh,51839a07,cpython-configure,parser,VmPeak,70180
flanders,osh,51839a07,cpython-configure,parser,VmRSS,57392
flanders,osh,51839a07,tcc-0.9.26,parser,VmPeak,24488
flanders,osh,51839a07,tcc-0.9.26,parser,VmRSS,11920
flanders,osh,51839a07,tcc-0.9.26,runtime,VmPeak,24488
flanders,osh,51839a07,tcc-0.9.26,runtime,VmRSS,12164
flanders,osh,51839a07,yash-2.46,parser,VmPeak,27136
flanders,osh,51839a07,yash-2.46,parser,VmRSS,14656
flanders,osh,51839a07,abuild-help,parser,VmPeak,32036
flanders,osh,51839a07,abuild-help,parser,VmRSS,19360
flanders,osh,51839a07,yash-2.46,runtime,VmPeak,27524
flanders,osh,51839a07,yash-2.46,runtime,VmRSS,15116
lisa,osh,51839a07,ocaml-4.06.0,parser,VmPeak,30352
lisa,osh,51839a07,ocaml-4.06.0,parser,VmRSS,17396
lisa,osh,51839a07,ocaml-4.06.0,runtime,VmPeak,30352
lisa,osh,51839a07,ocaml-4.06.0,runtime,VmRSS,17964
lisa,osh,51839a07,cpython-configure,parser,VmPeak,70180
lisa,osh,51839a07,cpython-configure,parser,VmRSS,57348
lisa,osh,51839a07,tcc-0.9.26,parser,VmPeak,24452
lisa,osh,51839a07,tcc-0.9.26,parser,VmRSS,11800
lisa,osh,51839a07,tcc-0.9.26,runtime,VmPeak,24584
lisa,osh,51839a07,tcc-0.9.26,runtime,VmRSS,12100
lisa,osh,51839a07,yash-2.46,parser,VmPeak,27212
lisa,osh,51839a07,yash-2.46,parser,VmRSS,14844
lisa,osh,51839a07,abuild-help,parser,VmPeak,32036
lisa,osh,51839a07,abuild-help,parser,VmRSS,19240
lisa,osh,51839a07,yash-2.46,runtime,VmPeak,27468
lisa,osh,51839a07,yash-2.46,runtime,VmRSS,15208
