host,shell_name,shell_hash,filename,metric_name,metric_value
flanders,osh,3a067bd6,configure,VmPeak,107284
flanders,osh,3a067bd6,configure,VmRSS,72452
flanders,osh,3a067bd6,test-cmd-util.sh,VmPeak,74460
flanders,osh,3a067bd6,test-cmd-util.sh,VmRSS,39752
flanders,osh,3a067bd6,abuild,VmPeak,58056
flanders,osh,3a067bd6,abuild,VmRSS,23464
flanders,osh,3a067bd6,configure-helper.sh,VmPeak,55888
flanders,osh,3a067bd6,configure-helper.sh,VmRSS,21072
flanders,osh,51839a07,t4014-format-patch.sh,VmPeak,24288
flanders,osh,51839a07,t4014-format-patch.sh,VmRSS,11784
flanders,osh,3a067bd6,t9300-fast-import.sh,VmPeak,51148
flanders,osh,3a067bd6,t9300-fast-import.sh,VmRSS,16568
flanders,osh,51839a07,configure,VmPeak,81008
flanders,osh,51839a07,configure,VmRSS,68328
flanders,osh,3a067bd6,functions,VmPeak,54656
flanders,osh,3a067bd6,functions,VmRSS,20056
flanders,osh,3a067bd6,t4014-format-patch.sh,VmPeak,50504
flanders,osh,3a067bd6,t4014-format-patch.sh,VmRSS,15812
flanders,osh,51839a07,test-cmd-util.sh,VmPeak,48444
flanders,osh,51839a07,test-cmd-util.sh,VmRSS,35584
flanders,osh,3a067bd6,Build.sh,VmPeak,56244
flanders,osh,3a067bd6,Build.sh,VmRSS,21420
flanders,osh,51839a07,configure-helper.sh,VmPeak,29504
flanders,osh,51839a07,configure-helper.sh,VmRSS,16816
flanders,osh,51839a07,configure-coreutils,VmPeak,186212
flanders,osh,51839a07,configure-coreutils,VmRSS,173740
flanders,osh,51839a07,abuild,VmPeak,32036
flanders,osh,51839a07,abuild,VmRSS,19392
flanders,osh,51839a07,t9300-fast-import.sh,VmPeak,24928
flanders,osh,51839a07,t9300-fast-import.sh,VmRSS,12600
flanders,osh,51839a07,functions,VmPeak,28684
flanders,osh,51839a07,functions,VmRSS,16156
flanders,osh,3a067bd6,ltmain.sh,VmPeak,74936
flanders,osh,3a067bd6,ltmain.sh,VmRSS,40140
flanders,osh,51839a07,Build.sh,VmPeak,30012
flanders,osh,51839a07,Build.sh,VmRSS,17436
flanders,osh,3a067bd6,configure-coreutils,VmPeak,212536
flanders,osh,3a067bd6,configure-coreutils,VmRSS,177640
flanders,osh,51839a07,ltmain.sh,VmPeak,48660
flanders,osh,51839a07,ltmain.sh,VmRSS,36256
lisa,osh,3a067bd6,configure,VmPeak,107284
lisa,osh,3a067bd6,configure,VmRSS,72360
lisa,osh,3a067bd6,test-cmd-util.sh,VmPeak,74460
lisa,osh,3a067bd6,test-cmd-util.sh,VmRSS,39800
lisa,osh,3a067bd6,abuild,VmPeak,58056
lisa,osh,3a067bd6,abuild,VmRSS,23340
lisa,osh,3a067bd6,configure-helper.sh,VmPeak,55888
lisa,osh,3a067bd6,configure-helper.sh,VmRSS,21164
lisa,osh,51839a07,t4014-format-patch.sh,VmPeak,24192
lisa,osh,51839a07,t4014-format-patch.sh,VmRSS,11568
lisa,osh,3a067bd6,t9300-fast-import.sh,VmPeak,51148
lisa,osh,3a067bd6,t9300-fast-import.sh,VmRSS,16376
lisa,osh,51839a07,configure,VmPeak,81008
lisa,osh,51839a07,configure,VmRSS,68240
lisa,osh,3a067bd6,functions,VmPeak,54912
lisa,osh,3a067bd6,functions,VmRSS,20184
lisa,osh,3a067bd6,t4014-format-patch.sh,VmPeak,50504
lisa,osh,3a067bd6,t4014-format-patch.sh,VmRSS,15824
lisa,osh,51839a07,test-cmd-util.sh,VmPeak,48444
lisa,osh,51839a07,test-cmd-util.sh,VmRSS,35632
lisa,osh,3a067bd6,Build.sh,VmPeak,56244
lisa,osh,3a067bd6,Build.sh,VmRSS,21556
lisa,osh,51839a07,configure-helper.sh,VmPeak,29504
lisa,osh,51839a07,configure-helper.sh,VmRSS,16912
lisa,osh,51839a07,configure-coreutils,VmPeak,186216
lisa,osh,51839a07,configure-coreutils,VmRSS,173548
lisa,osh,51839a07,abuild,VmPeak,32036
lisa,osh,51839a07,abuild,VmRSS,19332
lisa,osh,51839a07,t9300-fast-import.sh,VmPeak,24852
lisa,osh,51839a07,t9300-fast-import.sh,VmRSS,12200
lisa,osh,51839a07,functions,VmPeak,28680
lisa,osh,51839a07,functions,VmRSS,15884
lisa,osh,3a067bd6,ltmain.sh,VmPeak,74936
lisa,osh,3a067bd6,ltmain.sh,VmRSS,40316
lisa,osh,51839a07,Build.sh,VmPeak,29972
lisa,osh,51839a07,Build.sh,VmRSS,17504
lisa,osh,3a067bd6,configure-coreutils,VmPeak,212540
lisa,osh,3a067bd6,configure-coreutils,VmRSS,177748
lisa,osh,51839a07,ltmain.sh,VmPeak,48664
lisa,osh,51839a07,ltmain.sh,VmRSS,36156
