"host_label","bash","dash","mksh","zsh","osh-ovm","osh-cpython","num_lines","filename","filename_HREF"
"flanders",9.3,2.7,6.7,20.4,1761.6,1565.7,1116,"build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/build.sh"
"flanders",7.1,2,3.4,62.2,785.8,724.3,1679,"t4014-format-patch.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t4014-format-patch.sh"
"flanders",8.6,2.6,13.8,15.7,2025.8,2055.3,1733,"functions","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/functions"
"flanders",12.1,NA,NA,29.7,2820.4,2658.1,2029,"configure-helper.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure-helper.sh"
"flanders",12.2,3.2,8.8,29.9,3888.8,3126.9,2512,"abuild","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/abuild"
"flanders",10.4,2.8,6.5,60.1,3511.6,2745.6,2698,"Build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/Build.sh"
"flanders",10.5,2.2,3.8,75.9,700.2,696.7,3123,"t9300-fast-import.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t9300-fast-import.sh"
"flanders",35.5,NA,NA,73.9,9050.3,8162.6,5160,"test-cmd-util.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/test-cmd-util.sh"
"flanders",39.8,6.6,21.8,110.5,9205.9,9023.3,9661,"ltmain.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/ltmain.sh"
"flanders",101.4,12.7,46.6,256.2,21986,20744.4,20489,"configure","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure"
"lisa",5.3,1.4,2.6,8,674.9,683.6,1116,"build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/build.sh"
"lisa",3.4,1.4,1.7,34.8,303.9,337.9,1679,"t4014-format-patch.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t4014-format-patch.sh"
"lisa",5.6,1.4,3.2,8.3,893,907.1,1733,"functions","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/functions"
"lisa",5.4,NA,NA,14.7,1146.1,1144.6,2029,"configure-helper.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure-helper.sh"
"lisa",5.9,1.8,4.1,12.2,1581.5,1533.8,2512,"abuild","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/abuild"
"lisa",4.7,1.6,3.2,30.2,1120.7,1054.2,2698,"Build.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/Build.sh"
"lisa",4.9,1.1,2,40.6,236.3,251.5,3123,"t9300-fast-import.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/t9300-fast-import.sh"
"lisa",19.3,NA,NA,37,3939.8,3361.4,5160,"test-cmd-util.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/test-cmd-util.sh"
"lisa",19,3.4,11.9,45.4,3818,3690.9,9661,"ltmain.sh","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/ltmain.sh"
"lisa",40.4,8.1,26.3,112.5,8995.6,8612.7,20489,"configure","https://github.com/oilshell/oil/blob/master/benchmarks/testdata/configure"
