"host_label","shell_label","total_lines","total_ms","lines_per_ms"
"flanders","bash",50200,246.9,203.321182665047
"flanders","dash",43011,34.8,1235.94827586207
"flanders","mksh",43011,111.4,386.095152603232
"flanders","osh-cpython",50200,51502.9,0.974702395399094
"flanders","osh-ovm",50200,55736.4,0.900668145054219
"flanders","zsh",50200,734.5,68.3458134785568
"lisa","bash",50200,113.9,440.737489025461
"lisa","dash",43011,20.2,2129.25742574257
"lisa","mksh",43011,55,782.018181818182
"lisa","osh-cpython",50200,21577.7,2.32647594507292
"lisa","osh-ovm",50200,22709.8,2.21049943196329
"lisa","zsh",50200,343.7,146.057608379401
