symbols	vmsize	filesize
[section .rodata]	108887	108887
method_cache	98304	37
PyEval_EvalFrameEx	38980	39023
fastlex_MatchOshToken	23314	23360
[section .text]	14478	14478
PyType_Ready	9500	9537
convertitem	9309	9345
[section .symtab]	0	8352
PyString_Format	7061	7101
_PyExc_Init	6143	6179
__libc_csu_init	5549	5943
slotdefs	5600	5633
[section .dynsym]	5568	5568
marshal_dumps	5528	5566
marshal_dump	5505	5542
[section .strtab]	0	5366
w_object	4763	4796
type_new	4605	4638
r_object	4284	4317
float_richcompare	4235	4277
emacs_meta_keymap	4178	108
collect	4064	4096
long_pow	3944	3977
[section .data]	3833	3833
k_mul	3674	3704
warn_explicit	3654	3692
listsort	3652	3685
[section .plt]	3600	3600
_pystat_fromstructstat	3504	3551
merge_at	3439	3472
PyLong_FromString	3329	3371
long_true_divide	3291	3332
float_pow	3276	3310
string_translate	3132	3173
[Unmapped]	0	2938
import_module_level.isra.9	2837	2888
initsignal	2849	2884
posix_methods	2816	2854
initfcntl	2808	2842
initerrno	2781	2815
find_module	2731	2755
string_replace	2715	2754
long_xor	2684	2717
PyString_FromFormatV	2577	2622
_PySys_Init	2543	2579
reduce_2	2440	2473
initposix	2433	2467
string_split	2378	2415
float_fromhex	2361	2399
builtin_filter	2333	2372
PyEval_EvalCodeEx	2312	2354
long_and	2283	2316
long_or	2283	2315
PyErr_GivenExceptionMatches.part.0	2237	2296
do_mkvalue	2254	2289
_Py_ReadyTypes	2231	2270
_PyString_FormatLong	2189	2234
_PyLong_Frexp	2170	2208
posix_constants_sysconf	2144	2192
[section .dynstr]	2165	2165
string_rsplit	2121	2159
free_list	2120	226
small_ints	2096	35
opcode_targets.9571	2048	2092
PyErr_Display	2020	2058
zipimporter_init	2008	2049
characters	2048	35
PyObject_IsInstance	1949	1993
[ELF Headers]	0	1984
x_divrem	1900	1933
type_set_bases	1886	1925
solid_base	1817	1852
_PyLong_Format	1802	1841
vgetargs1	1789	1823
[section .got.plt]	1816	1816
get_module_code	1731	1771
find_module.constprop.11	1714	1763
PyMember_SetOne	1683	1723
long_rshift	1671	1707
l_divmod	1669	1702
vgetargskeywords	1655	1696
Py_InitializeEx	1648	1688
builtin_methods	1632	1672
subtype_dealloc	1624	1651
_Py_HashDouble	1570	1609
long_lshift	1573	1609
do_binop	1564	1597
mro_internal	1545	1582
PyObject_RichCompareBool	1507	1556
PyObject_Malloc	1514	1554
file_readlines	1506	1545
list_ass_slice	1499	1538
PyClass_IsSubclass	1491	1534
list_ass_subscript	1484	1527
set_update_internal	1476	1520
PyImport_Cleanup	1477	1518
PyObject_Compare	1476	1517
frame_setlineno	1454	1494
dictresize	1412	1447
builtin_map	1406	1442
best_base	1405	1439
long_new	1390	1423
handle_range_longs.isra.4	1364	1414
builtin_sum	1355	1391
long_int	1348	1381
ternary_op.isra.5	1335	1377
long_to_decimal_string	1323	1370
load_source_module	1321	1364
imp_load_module	1330	1358
class_new	1317	1351
_PyLong_FromByteArray.constprop.16	1282	1341
gallop_right	1297	1334
get_line	1288	1321
string_methods	1280	1319
gallop_left	1281	1317
posix_execve	1277	1314
float_hex	1259	1293
dictview_richcompare	1244	1289
PyObject_Free	1249	1287
PyObject_ClearWeakRefs	1234	1281
PyNumber_Multiply	1228	1270
half_richcompare	1197	1262
file_read	1221	1255
file_writelines	1207	1247
PyString_DecodeEscape	1195	1241
instance_hash	1195	1233
list_repr	1198	1232
skipitem	1172	1205
gen_throw	1160	1194
PyObject_RichCompare	1145	1190
float_as_integer_ratio	1137	1184
set_intersection_update_multi	1121	1175
instance_ipow	1131	1169
PySys_SetArgvEx	1120	1160
instance_slice	1115	1154
instance_nonzero	1110	1151
get_data	1114	1147
do_warn	1112	1144
instance_getiter	1091	1132
mro_implementation	1086	1129
time_strftime	1087	1125
PyObject_IsSubclass	1069	1113
load_module	1076	1112
set_iand	1068	1101
PyImport_ReloadModule	1032	1078
PyObject_Dir	1039	1076
min_max	1043	1075
fastlex_MatchEchoToken	1023	1070
_PyLong_DigitValue	1024	1067
imp_reload	1032	1067
_Py_ctype_table	1024	1064
PyNumber_InPlaceRshift	1012	1059
usedpools	1024	1058
update_one_slot	1017	1057
listpop	1024	1056
instance_contains	1011	1053
long_abs	1016	1049
PyFrame_New	1011	1047
instance_repr	1003	1041
Handlers	1040	33
gen_del	1003	1035
_PyBuiltin_Init	986	1026
_Py_DisplaySourceLine	979	1025
PyOS_strtoul	977	1014
instance_subscript	971	1014
fcntl_ioctl	968	1004
int_new	972	1004
PyInterpreterState_Clear	948	997
instance_length	955	995
structseq_repr	955	994
int_pow	958	990
PyNumber_Add	951	988
_PyFloat_Pack8	944	983
initimp	949	981
set_table_resize	937	978
long_divmod	938	974
float_floor_div	931	971
PyFrame_LocalsToFast	916	961
builtin_zip	922	958
dict_setdefault	916	956
PyCode_New	920	955
fill_file_fields	914	955
instance_dealloc	913	954
PyInstance_New	913	952
builtin_print	911	949
PyNumber_FloorDivide	903	948
PyNumber_TrueDivide	903	947
w_long	909	940
PyNumber_Or	903	939
PyErr_NormalizeException	888	937
PyNumber_Remainder	887	930
PyNumber_Subtract	887	929
PyNumber_Divide	887	927
PyNumber_Divmod	887	927
PyNumber_Lshift	887	927
PyNumber_Rshift	887	927
buffer_ass_subscript	882	927
PyNumber_Long	887	925
PyNumber_And	887	924
PyNumber_Xor	887	924
long_add	890	923
dict_fromkeys	884	922
supercheck	887	922
Ovm_Main	888	921
class_setattr	883	921
slot_tp_hash	884	921
PyString_Repr	880	918
PyDict_Merge.constprop.12	867	917
instance_iternext	875	917
instance_ass_slice	873	916
PyErr_PrintEx	876	914
file_iternext	875	913
dict_repr	878	912
long_sub	874	907
PyFile_GetLine	861	900
set_richcompare	856	896
open_the_file	857	895
structseq_new	840	894
file_init	855	889
_PyCodec_DecodeText	844	888
instance_index	843	882
PyType_Modified.part.29	833	881
PyErr_Print	844	880
PyObject_GenericGetAttr	831	879
PyFloat_GetInfo	838	878
PyString_InternFromString	822	872
instancemethod_call	828	872
frozenset_new	841	871
long_bit_length	830	870
instance_item	827	865
instance_str	827	864
instance_ifloordiv	817	860
_PyCodec_EncodeText	815	859
instance_itruediv	817	859
